"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"G K M I O","GIKMO",5,3,"K","53 pts",1,2,0,0
"T R P","PRT",3,1,"P","52 pts",1,2,0,1
"P L N J R","JLNPR",5,3,"N","33 pts",1,2,0,1
"F R H J L N P","FHJLNPR",7,2,"H","28 pts",1,2,0,1
"N F H J L P R T V","FHJLNPRTV",9,8,"T","54 pts",1,2,0,0
"K I G","GIK",3,1,"G","69 pts",1,2,0,0
"O M K Q","KMOQ",4,2,"M","52 pts",1,2,0,1
"K E G I M O","EGIKMO",6,1,"E","51 pts",1,2,0,0
"M G I K E O","EGIKMO",6,3,"I","53 pts",1,2,0,0
"V N P R T L","LNPRTV",6,5,"T","11 pts",1,2,0,0
"P J L N R T","JLNPRT",6,3,"N","84 pts",1,2,0,1
"N F H J L D P R","DFHJLNPR",8,5,"L","41 pts",1,2,0,1
"E G I U K M O Q S","EGIKMOQSU",9,7,"Q","23 pts",1,2,0,1
"F L H J N","FHJLN",5,3,"J","22 pts",1,2,0,0
"M O K Q S","KMOQS",5,1,"K","52 pts",1,2,0,1
"N F H J L","FHJLN",5,4,"L","77 pts",1,2,0,1
"E O I K M G","EGIKMO",6,6,"O","66 pts",1,2,0,1
"U G I K M O Q S","GIKMOQSU",8,1,"G","10 pts",1,2,0,0
"K G I","GIK",3,1,"G","62 pts",1,2,0,1
"H J N P R T L","HJLNPRT",7,1,"H","46 pts",1,2,0,1
"K O M S Q","KMOQS",5,4,"Q","73 pts",1,2,0,0
"E G O I K M Q S U","EGIKMOQSU",9,8,"S","70 pts",1,2,0,1
"P R N T","NPRT",4,3,"R","10 pts",1,2,0,0
"E G K I O M Q S U","EGIKMOQSU",9,8,"S","86 pts",1,2,0,1
"H J L N P V R T","HJLNPRTV",8,3,"L","78 pts",1,2,0,0
"Q O M S U W","MOQSUW",6,1,"M","25 pts",1,2,0,1
"S K M O Q","KMOQS",5,3,"O","35 pts",1,2,0,0
"E K G I M","EGIKM",5,3,"I","54 pts",1,2,0,0
"E G I K M O U Q S","EGIKMOQSU",9,4,"K","55 pts",1,2,0,1
"G S I K M O Q U","GIKMOQSU",8,2,"I","16 pts",1,2,0,1
"P R N","NPR",3,3,"R","43 pts",1,2,0,1
"F H J L N P D","DFHJLNP",7,6,"N","82 pts",1,2,0,0
